Plamp	Q_start	time	Dabs
14	0	1.48046E-08	-5.24E-02
14	0	1.68983E-08	-5.09E-02
14	0	3.02808E-08	-5.50E-02
14	0	4.04516E-08	-5.67E-02
14	0	7.89085E-08	-5.47E-02
14	0	1.03764E-07	-5.30E-02
14	0	1.33903E-07	-5.15E-02
14	0	1.64266E-07	-5.05E-02
14	0	1.90734E-07	-4.85E-02
14	0	2.22386E-07	-4.70E-02
14	0	2.48722E-07	-4.51E-02
14	0	2.81846E-07	-4.39E-02
14	0	3.17044E-07	-4.23E-02
14	0	3.50637E-07	-4.05E-02
14	0	3.79166E-07	-3.91E-02
14	0	4.1643E-07	-3.78E-02
14	0	4.49564E-07	-3.59E-02
14	0	4.86829E-07	-3.45E-02
14	0	5.26163E-07	-3.31E-02
14	0	5.655E-07	-3.15E-02
14	0	6.11039E-07	-3.02E-02
14	0	6.50145E-07	-2.87E-02
14	0	6.82979E-07	-2.77E-02
14	0	7.21645E-07	-2.65E-02
14	0	7.70093E-07	-2.50E-02
14	0	8.13908E-07	-2.38E-02
14	0	8.55305E-07	-2.27E-02
14	0	8.97739E-07	-2.16E-02
14	0	9.40863E-07	-2.03E-02
14	0	9.87776E-07	-1.94E-02
14	0	1.03554E-06	-1.85E-02
14	0	1.07884E-06	-1.76E-02
14	0	1.12472E-06	-1.66E-02
14	0	1.16991E-06	-1.56E-02
14	0	1.21455E-06	-1.52E-02
14	0	1.26319E-06	-1.47E-02
14	0	1.3065E-06	-1.37E-02
14	0	1.35234E-06	-1.32E-02
14	0	1.39652E-06	-1.24E-02
14	0	1.44217E-06	-1.18E-02
14	0	1.48724E-06	-1.11E-02
14	0	1.5338E-06	-1.05E-02
14	0	1.57967E-06	-1.01E-02
14	0	1.6252E-06	-9.60E-03
14	0	1.67072E-06	-9.24E-03
14	0	1.71796E-06	-9.23E-03
14	0	1.76218E-06	-8.56E-03
14	0	1.80729E-06	-8.21E-03
14	0	1.85282E-06	-7.79E-03
14	0	1.89834E-06	-7.53E-03
14	0	1.93973E-06	-7.25E-03
14	0	2.01008E-06	-6.57E-03
14	0	2.05561E-06	-6.36E-03
14	0	2.10196E-06	-5.70E-03
14	0	2.12458E-06	-6.01E-03
14	0	2.16321E-06	-5.70E-03
14	0	2.19631E-06	-5.60E-03
14	0	2.25508E-06	-5.01E-03
14	0	2.29564E-06	-4.91E-03
14	0	2.34352E-06	-4.83E-03
14	0	2.38669E-06	-4.28E-03
14	0	2.40654E-06	-4.53E-03
14	0	2.44256E-06	-3.74E-03
14	0	2.46634E-06	-4.60E-03
14	0	2.48602E-06	-2.76E-03
14	0	2.50048E-06	-4.32E-03
14	0	2.55739E-06	-4.00E-03
14	0	2.60394E-06	-4.19E-03
14	0	2.63087E-06	-2.08E-03
14	0	2.65649E-06	-3.85E-03
14	0	2.67638E-06	-2.22E-03
14	0	2.70828E-06	-3.79E-03
14	0	2.75499E-06	-3.28E-03
14	0	2.80229E-06	-2.61E-03
14	0	2.82534E-06	-3.26E-03
14	0	2.84842E-06	-1.62E-03
14	0	2.89621E-06	-3.04E-03
14	0	2.93753E-06	-3.17E-03
14	0	2.98328E-06	-2.87E-03
