time	EP0	EQ	EP*	[PC]	[PC+]	[Q]	[Q-]	[PC*]	EQh	lambda	Ilamp	Abscoef	k2	Gdiff
1e+08	-0.1	-0.45	-3	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.95	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.9	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.85	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.8	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.75	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.7	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.65	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.6	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.55	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.5	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.45	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.4	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.35	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.3	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.25	0.9989	0.00110004	0.9989	0.00110004	5.07457e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.2	0.9989	0.00110004	0.9989	0.00110004	5.07456e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.15	0.9989	0.00110004	0.9989	0.00110004	5.0745e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.1	0.9989	0.00110004	0.9989	0.00110004	5.07412e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2.05	0.9989	0.00110004	0.9989	0.00110004	5.07176e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-2	0.9989	0.00110004	0.9989	0.00110004	5.05853e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.95	0.9989	0.00110004	0.9989	0.00110004	4.99142e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.9	0.9989	0.00110004	0.9989	0.00110004	4.69735e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.85	0.9989	0.00110004	0.9989	0.00110004	3.74477e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.8	0.9989	0.00110004	0.9989	0.00110004	2.07934e-10	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.75	0.9989	0.00110004	0.9989	0.00110004	7.97885e-11	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.7	0.9989	0.00110004	0.9989	0.00110004	2.6299e-11	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.65	0.9989	0.00110004	0.9989	0.00110004	8.70632e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.6	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.55	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.5	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.45	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.4	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.35	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.3	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.25	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.2	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.1	-0.45	-1.15	0.9989	0.00110004	0.9989	0.00110004	5.14364e-12	-0.275	54392	0.0564	1	1e+08	16000
1e+08	-0.05	-0.45	-3	0.999584	0.000416025	0.999584	0.000416025	5.07546e-10	-0.25	54392	0.0564	1	1e+08	16000
